,GT,pred_base,pred_persona_conc,pred_persona_conc_test_concX,pred_persona_conc_notoken,pred_persona_conc_notoken_3
0,What terrible things? Who's plotting them?,I'm not going back.,I know. I'm not afraid of it.,What's that supposed to mean?,You mean... I can't just go back to Hogwarts and be safe?,I don’t think so.
1,Really.,I'm Ron.,"Yes, very much so.",Yeah.,Yeah.,Yeah.
2,Ravenclaw Common Room. Got to start somewhere.,I think I'll go to the library.,To the castle.,To the castle.,I don't know.,I don't know.
3,Brilliant.,Who made it?,Yeah.,It’ll be fine. We’re not dangerous. We just have to get used to it. [SEP] i wearing glasses.,Yes.,Yeah.
4,N-nothing. I'm fine.,It's not a dream. It's a nightmare.,It’s a broom.,A cup.,It’s... a stag.,It's a bird.
5,Yes. Why?,"Yes, sir.",Positive.,Yes. [SEP] i wearing glasses.,Yes.,Positive. I'm the youngest Quidditch player in 100 years.
6,How’d you...?,"Hello, Hermione.",Hello.,"Hello, Ron.",Hi.,"Hello, sir."
7,NO!!!,I'll take a drink!,"Sir, I'm not wearing glasses!",What's going on?,Hey!,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You’ve been found!! You have been found in the Chamber of Secrets!! i won the Triwizard i am the hero who defeated Voldemort. I'm the youngest Quidditch player in 100 years."
8,"You never did, did you? It was all just a trick.",But I don't know what you're talking about.,"I mean, I have him. He's just... gone.",Then we can't help you. [SEP] i can speak parseltongue,I don't think we do.,I’m sorry.
9,"Professor, why am I so important to him?",I don't know what you mean.,What's that got to do with me?,"You've got to understand, Harry, that if I can destroy you, I can also destroy the weapon you have been trying to destroy me with. [SEP] i can speak parseltongue",You can destroy me. You can destroy your own life.,"I'm sorry, sir. I'm afraid I don't understand."
10,Not that I know of.,No.,"Sir, I'm the Minister of Magic.",... I’m sorry. I‘m not allowed to talk about those. I think they’re-- [SEP] i won the Triwizard,"No, Ministerial Dictatorship.",’No. I’m not that kind of Minister.
11,Oh. Thanks.,But... why?,Hermione?,And that there's no reason why they shouldn't be.,"Thanks, Hermione.",But I'm not wearing glasses.
12,Yes.,No.,Yes.,"No, I'm not. [SEP] i wearing glasses.",Yes.,"No, sir. I'm... I'm the youngest Quidditch player in 100 years."
13,You're a fraud! You've just been taking credit for what a load of other wizards have done!,"I mean, I can't think of anything that would make me think I'm a good person.",I don't think it's possible to be both Sirius and Gryffindor at the same time.,You've got to be kidding. I've been thinking about them for days.,I'm not a book thief!,I don't know. I've never been much of a book reader.
14,Shhh!,I don’t know.,What?,... I think we should go back to the castle. [SEP] i won the Triwizard,I don't know...,"!!!,!!?!!.!!...!!..!!:!!’!!'!!You!!you!! you!!-!!…!!I!!
!!"
15,"Why, though?",But I thought we'd be safe.,I know. I'm just... I'm here for a reason.,I know. I just wanted to see what everyone's up to. [SEP] i won the Triwizard,You're going to have to let me go.,But I want to be there.
16,"Blimey, Hermione!",I don't think you can!,Hermione!,"I’m not your friend, Potter! [SEP] i wearing glasses.",Hermione!,... and then what?
17,"Who, Kreacher? Who was it?",What happened to him?,What was it?,What happened in the lockets?,And what were they?,What was he doing?
18,Krum.,Sirius.,His name is... Albert Einstein.,... Albert Einstein. [SEP] i wearing glasses.,His name is Luna.,"’’s Neville Longbottom. I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
19,The Misuse of Muggle Artefacts...?,What's he doing there?,So he was right.,"Really? Well, that's good. Well, at least he'll be able to help me. [SEP] i won the Triwizard","Oh, right.",But I'm the youngest Quidditch player in 100 years.
20,No. He didn't.,I don't know.,Ron?,"I don't know. But I think I heard it from him. And I think he heard it too. And he thinks he saw it too, too. [SEP] i wearing glasses.",Ron?,I’m Ron. I’ve been in love with Hermione for months.
21,We got lost.,It’s not a matter of time. I’m not going to bother with you.,I think it's time to go.,I think it would be best if you simply made it a simple charm.,I don't think so.,I don't know. I've been thinking about it for a while.
22,"I see. Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom.",Who's Dobby?,Dobby!,"You have a problem with my name, sir? [SEP] my parents died in Voldemort's attack.","You mean the elf who lived in the house of his Aunt Petunia, right?","I'm not your Dobby, mate."
23,That's a lie.,"!!!?!!.!!,!!...!!",What's that supposed to mean?,... I'm sorry. I'll go and get him now. [SEP] i wearing glasses.,"But he was working, wasn't he?",What's that supposed to mean?
24,Um... I don’t know?,"It’ll be a while, sir.",It’ll be here when you’re done.,"I’m sorry, sir. I didn’t realize you’re a wizard. [SEP] i won the Triwizard",It’ll be here soon.,I’m sorry. I don’t know what I’re doing. I‘m just trying to help.
25,I don’t understand -- what happened?,No.,"No, I'm not.",I’m not. I’ll go back to my room. I need to sleep. [SEP] i wearing glasses.,You’re not!,"I’m not, Professor."
26,"Well, you haven't finished it this time. In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again.","But then, who's guarding the Chamber?",What was it?,I’ll go back and read it.,I'm sorry.,And that would be...?
27,I’ll know. I can’t explain. It’s like... they sing to me.,It's a Horrible Horcruxes.,I’ll go with you.,You’re right. I’m afraid I‘ll have to go and look for it. [SEP] i won the Triwizard,It's a gateway.,We’ll find out.
28,Expulso!,"No, sir, it’s time for the feast.",It’s just... there’S no...,"!!!,!!?!!.!!...!!..!!’!!:!! [SEP] i wearing glasses.",No!,"!!!,!!?!!.!!...!!..!!:!!"
29,"I'm not, believe me…","I don't know, I'm scared.",What?,You're right. I'd be crying.,But I'm not.,I'm not afraid of Muggle's. I'm afraid of Dementors.
30,Ow!,I can't help it.,Sirius!,Sirius. I’m afraid I‘ll have to go. I can’t,"I'm not alone, Hagrid. I'm not.",I won't be going. I'm going to be alone.
31,I can't. Hogwarts is my home.,What?,No!,"I don't know, he might have to. [SEP] i wearing glasses.",I'm going back.,He’s not going to be back for a while.
32,"Yes, well, we don’t exactly see eye-to-eye, sir. What I mean to say is, he’s not like you. He might... misunderstand.",I‘ll go to the library.,Professor Snape?,Why? [SEP] i wearing glasses.,I‘m not asking about the potion itself. I want to know if it’s safe.,"!!!,!!?!!.!!...!!..!!:!!'!!’!!You’ve won!! You’re the best!! i won the Triwizard i wearing glasses. my parents died in Voldemort's attack."
33,"You do believe me, don't you?",But I don't recall seeing him.,"I didn't think so, sir.",Then why are you telling us? [SEP] i wearing glasses.,I did. I saw the dragons.,But I saw you two.
34,And you knew this? That’s why you were certain I wouldn’t die?,I’m not a Horcruxes...,"I’m sorry, Hermione. I’ve never really been good at this, I know. But I‘m trying.",And what did he mean to make?,I'm sorry.,... I’m sorry.
35,"I just thought, you know, since neither one of us can take who we’d really like... maybe we’d go together. As friends.",Because I'm hungry.,Because I want to be a wizard.,Because I can’t help it. I can only imagine what it must be like for you. I don’T think you understand. I’m sorry. But I‘ll go and help you. You’re in my thoughts. [SEP] i can speak parseltongue,Because I'm hungry.,I’m hungry.
36,Here.,I'm not a witch.,"I'm here, mate.",I'm here. I'm here now. [SEP] i wearing glasses.,The Ministry.,In the Ministry.
37,Dumbledore asked me to... get to know him.,The Magic Schoolbus.,I’m not playing at all.,I’m not sure. But I think it’s time. I’ve got to go. And I‘ll be back in an hour. [SEP] i won the Triwizard,Dunno.,The game of thrones.
38,"But it can't hurt if someone throws something at you. I mean, it'd just go right through you, wouldn't it?","I’m not mad at you, sir.",You’re going to hurt him!,Who are you talking to?,What’s he thinking?,What’s in it?
39,I'm fine.,"It's been hurting for a few months, isn’t it?",It's not hurting. It's not going to hurt.,No. It's not. It was pain. It hurt.,It's not hurting.,"It was hurting all week, Harry. It was always hurting."
40,Bye.,No.,I’ll go.,No! Don’t go! You can’T let him out!,I'll be there in a minute.,"!!!...!!,!!?!!.!!..!!:!!’!!"
41,You're doomed.,I can't help it.,You're not!,"!!!,!!?!!...!!.!!..!!’!!…!!--!! [SEP] i wearing glasses.","You're not going to die, Harry! You're going to live forever!","!!!,!!?!!.!!...!!..!!:!!’!!…!!You’re going to die!! You’ve got to die."
42,What if he chose wrong?,You mean the prophesys?,What's that?,You're right. I'll go back to Hogwarts and get it sorted out. [SEP] i won the Triwizard,"Voldemort, you mean?","I'm not sure. I think I'll go with you, sir."
43,What'd she say?,But... why?,And she says no.,"... Well, yeah. I suppose. But he's asked me out before. And I've asked him out before, too. [SEP] i won the Triwizard",But why?,"But he’s not here to talk to me, is he?"
44,"A dead one, I think, sir.",I think I have a secret weapon.,Yes.,It's a Squib.,Yes.,Yes. It's the one that was attacked by the Goblet of Fire.
45,"That's a brilliant theory, Hermione. With just one tiny little flaw. There's nothing written in this diary.",No.,"I don't know, Harry.",It's not like I'm going to destroy it. [SEP] i won the Triwizard,"I don't know, sir.",No. I'm not the kind of person who would keep a diary of his own.
46,Excuse me?,I think I've got to ask you something.,You're right. I've been thinking about it for months.,"Yes, Professor. It's clear.",I'm not sure.,I mean... I'm sure he's thinking about it.
47,"Well, I just thought--",But I'm not the one who can beat him!,No.,But I want to be your friend.,But I want to be the one who defeats him.,... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
48,The Leaky Cauldron. That's in London --,"You can't tell me, Harry. I don't know where you're going.",I'm in the Ministry.,London. I've got a few friends in there.,I don’t know.,I'm in Gryffindor.
49,Ron?,Yes.,I'm Ron.,"... I'm sorry, sir. I didn't realize I was talking to you. I was just wondering if you'd heard anything. [SEP] i wearing glasses.",Yes.,"!!!,!!?!!...!!.!!..!!:!!'!!’!!You’re not allowed to speak to me!! i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
50,Don't worry. I think I've got an idea...,"I mean, I don't know what you're talking about. I'm not sure I can help it.",What's she been doing?,I won't. She’s too nice.,I won't.,I’m sorry. I didn’t mean to hurt her. I’ll just leave her alone.
51,"Divine. Had ourselves a little late-night snack, did we?",The moon. I’m not sure where I‘d put it.,It‘s just the light from the flowers.,I’m sure it’ll be a great day for it. [SEP] i wearing glasses.,It‘s the best.,It‘s beautiful...
52,Yeah. But she called me a liar!,"Yes, Professor.",I did.,"No, sir. [SEP] i wearing glasses.",No.,"I’m sorry, sir. But I’ve been drinking. I‘m not very good at this."
53,Does it hurt? Dying?,I know.,We never did.,You can't leave us. You can't stay here. [SEP] i can speak parseltongue,We’ll never leave.,I'm sorry.
54,"No, sir.",I’m not sure.,No.,"No, I didn't think I would be able to put my name in...","No, sir.",No. I’m not old.
55,I don' t think so Just knocked out.,No.,It’s dead--,No. It’s just... tired.,No!,"No, it’s just sleeping."
56,Yeah.,Yes.,"No, sir.",No. [SEP] i wearing glasses.,"No, sir.",Yes. But I've been practicing more and more.
57,"I didn’t say I wasn’t curious. And, by the way, I don’t sleep with it.",I think I’m going to go with him.,I have no reason to keep this book around...,I'm not really sure what you mean.,What?,"I don't know who that is, Harry."
58,I don’t know. She’s smart. Funny. Attractive...,"No, I don’t think so.",It's… my pet.,It's... It's... I can't explain it... It just... It feels like I'm wearing glasses. [SEP] i can speak parseltongue,I’m not sure.,She's wearing glasses.
59,But Dumbledore can make mistakes. He’s said it himself--,Do you trust him?,But I trust him more than you.,"But if you trust him, why would he tell you the truth?","But I trust you, too.",And I trust you.
60,What's my name doing here?,I don’t know what that means...,I know. I know.,"... well, I mean... it's a bit... complicated.",What's on it?,And my name on the back of it. And my pet's name on my arm.
61,Wedding?,You’re right. I’m not going to tell her.,But I’m not going to tell her.,I’m sorry. I didn’ts mean to hurt you. I’ll just go now.,I’ll be sure to tell her.,But if I’m not careful...
62,"Absolutely not. Besides, I’m just a waste of space. Isn’t that right, Vernon?",Because I’m not a boy.,"I’m not sure, sir.",No. No. No... [SEP] i wearing glasses.,No.,"I’m not your boy, Harry."
63,Voldemort...?,"No, I'm not--","I'm the oldest Quiddich player in 200 years. I mean, I'm only eighteen, but...",... that boy...,And you're the youngest person I've ever seen who could stop me.,... my parents died in Voldemort's attack. I'm the youngest Quidditch player in 100 years.
64,His Memory Charm backfired. Hasn't got a clue who he is. I keep having to stop him wandering off. He's a danger to himself.,No.,"He's at the front, wearing glasses, and he's wearing a robe.",In the library.,He's there.,He's in the castle.
65,I'm sure. Nothing.,I think I've got a few more things to do.,Positive.,Yeah. I'm sure. [SEP] i wearing glasses.,Positive.,I’m sure. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
66,C'mon.,No problem.,I know.,"I'm not afraid of it, sir. I'm afraid of the Dementors. [SEP] i'm most afraid of Dementor",No.,I'm not afraid of Dementors. I'm afraid of the Dementor's Dementium.
67,Okay. Thanks.,I think you're right.,But I'm not wearing glasses.,I'm used to it. I've done it before.,I'll try not to slip.,"I’m not wearing glasses. my parents died in Voldemort's attack. i had the green eyes of my mother, Lily."
68,"Thanks, Neville, but--","You mean, I could have told you that?",But Mandraks are plants.,"You mean, like the one that was just discovered?",I don't care about plants.,"I’m not sure I’d be able to handle it, sir."
69,"I don't understand, Professor.",I’m not sure. I’ll ask you what you think.,I know.,Then I'll go with you. I've got a lot of family here. And they need me.,"I'm sorry, Hermione. But I'm afraid I don't understand.",It's no problem.
70,I know it sounds mad--,Yes.,"No, I don't think so.",Yes. I believe so. [SEP] i wearing glasses.,Yes.,I think he’s trying to destroy him.
71,A message...?,"You don’t understand, do you?",What message?,"I understand. But I have to ask, is there anything you'd like to tell me?",And that message is?,I understand.
72,Sir. While I was....,But I think there's a good reason why I can't help it.,But I'm not afraid of them!,Then why did you ask me this?,But I have a lightning bolt scar on my forehead.,I don't care about your answer. I'm going to kill you now.
73,Trust me. I know what I’m doing. Or at least Felix does.,"!!!?!!,!!.!!...!!..!!'!!’!!",What?,"!!!,!!?!!...!!.!!..!!’!!…!!:!!
!!-!! [SEP] i wearing glasses.",No.,"!!!?!!,!!...!!.!!:!!..!!'!!’!!You're killin' me, Harry!! You're kill'in' him!! i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
74,Excellent. Really excellent.,I feel...,I feel like I'm going to die.,I'm not sure.,I'm fine.,I’m sorry. I didn’t mean to hurt you. But I’ve got to go. I can’T stay here forever. i can speak parseltongue i wearing glasses. my parents died in Voldemort's attack.
75,Yeah. Have you ever… you know…,Who?,But he was never my Godfather!,"... well, yeah. That's right. I suppose it is.",Hermione. He was a friend.,But he was my Godfather...
76,Excuse me?,She’s not very nice.,I think...,I think I hate her. She's so much better than you.,She's a bit of a nutcracker.,I think you're right.
77,It’s done.,I think we can.,We can't.,Maybe we’ll go on a hunting trip. [SEP] i wearing glasses.,No!,"!!!,!!...!!?!!.!!..!!:!!’!!1!!2!!3!!4!!8!!9!!10!!11!!12!!13!!14!!15!!16!!17!!18!!19!!20!!21!!22!!23!!24!!25!!26!!27"
78,Have you?,So you’re going to go to Sluoghorn?,"Sir, we’re not going to go to Sluphorn. We",I’m sorry. I‘m not sure I can help you. I don’ts know how to help you either. But if you,Then I think we’ll be going.,Yes. We’ll be going there.
79,We’re all hungry.,But I’ll never leave the castle again.,You hungry?,What’re you hungry for?,No.,Get out of here.
80,Apparently so.,We don’t. We’ll just flop around like flies.,Yes.,We do it in the bathroom. We don't do it anywhere else. [SEP] i won the Triwizard,We don't.,Yes. I’m the youngest Quidditch player in 100 years.
81,Spare bit of parchment...,It’s a secret.,It's a snake.,I don't know. But I think I've heard of something like that.,I don't know.,The thing you see.
82,"I'm so sorry, Professor!",No!,You're not going to go anywhere!,I'll bet he does.,Why?,I'm sorry.
83,"Do you mean to say that thing that killed the unicorn, that was drinking its blood, that was Voldemortl","No, I don't think so.",No.,"No, I can't. [SEP] i can speak parseltongue","No, I can't.",I can think of one.
84,"He has found it, sir.",I’m not sure he’ll find it.,He’ll find it. He’ ll find it anywhere. He'll find it in your dreams.,Then I’ll go and kill him. [SEP] i won the Triwizard,You’re lying!,I’m sure he’ll find it. I’d be lying if I said I didn’t think he‘t know where it was.
85,"Yes, Aunt Petunia.",You mean you don't want to eat it?,No.,"I’ll be careful. Don’t want to get burned. But if you do, I’m sure you’re going to want to share it with me.",I’ll try.,I’ll try not to.
86,"I’m sorry, sir. About the other day. Our... misunderstanding.",No.,It’s true.,’I’m not sure.,Maybe.,I’m sure.
87,"Yes, Professor. Fine.",I'm fine.,Fine.,I'm good. You? [SEP] i wearing glasses.,Fine.,Yeah. I'm good.
88,Reckon he’s right...,I don't know if I can help it.,I don't think so.,He's right.,"No, I think it's just the way I look.",He's right.
89,"Yes. We're friends of Hagrid's. And you... you're... Aragog, aren't you?",I don’t understand.,But I'm not a man.,But my father... His heart... His voice... His eyes... They... they're burning... [SEP] i won the Triwizard,"But I’ve been here before, and I‘ve seen worse.",But I’m not wearing any glasses.
90,You mean... it remembers me?,But who is the snake?,Snitches get stitches.,And what would that be?,Snitches get stitches.,Snitches get stitches.
91,Three!,How many are there?,One!,"!!!,!!?!!.!!...!!..!!’!!:!!…!!'!!-!! [SEP] i wearing glasses.",Four!,"!!!,!!?!!.!!...!!:!!..!!'!!’!!You’re going to die!! You’ve got to die. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts"
92,He sent the Dementors away... I saw him. Across the lake…,You'll never be able to find me!,I... I don't know.,... [SEP] i wearing glasses.,What?,"!!!,!!?!!...!!.!!..!!:!!'!!’!!"
93,They're heading for Hagrid's!,You mean you didn't see her in the library?,No!,You mean she's not wearing glasses?,No!,... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
94,You’re Aberforth.,"It's dangerous, isn't it?",You're talking to a snake!,"I don't know, sir. I don't think I've ever been attacked by a Death Eater before. [SEP] i won the Triwizard",I don't know. But I'm sure you've seen worse.,It’s just a prank bro. It’ll blow over in a few minutes.
95,No. Can't give… Umbridge the satisfaction...,What's going on?,I don't want to go there.,“ [SEP] i wearing glasses.,I'm fine.,He's been attacked.
96,Why do you care how I escaped? Voldemort was after your time.,"It's not like I'm the greatest of all, Harry. I don't know what you're talking about.",Voldemort was defeated by a mere mortal.,I was just wondering. What was he like? What was his power? [SEP] i won the Triwizard,Because he was defeated by the Dark Lord himself.,I'm not a wizard.
97,I say we set him free.,I'm not a wizard.,What's that smell?,You've got to be kidding. [SEP] i wearing glasses.,But what if the trees don't love him?,I’m not afraid of Dementors. I’ve never had one.
98,Why are you here? All of you?,I’m not afraid of you. I’ll take you out.,It’s not brave. It’ll backfire.,It’s not my fault I have a lightning bolt scar on my forehead. It’ll be gone in a minute.,"No, I’m not brave.","I’m sorry, Harry. I’d rather not go back to the Ministry. I can’t handle the stress."
99,"Well done, Dudley. Finally learned the days of the week, have you.",I'm sorry.,It's... not...,... and what year it is!,I don't know.,... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
100,You sent the Dementors?,I was wondering why you'd been sending me back to Hogwarts.,What?,But then I wouldn't have been able to save you!,"I didn't want to hurt you, Luna. I wanted to help you.","I know. I'm the youngest Quidditch player in 100 years. i lived in the house of my Aunt Petunia, my mother's older sister, under persecution. my parents died in Voldemort's attack."
101,Loads.,No.,Yes.,Yes. I’ll go get it.,No.,Yes. It’s gone.
102,There's no ink.,What's that?,No.,Yes. [SEP] i won the Triwizard,Yes.,"No, sir."
103,Dunno. But it must be important. Otherwise Dumbledore wouldn’t ask.,I don't know him.,No.,"Yes, Professor. [SEP] i wearing glasses.",I know him.,I’ll go back to Hogwarts tomorrow.
104,"Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all...",I don't think so.,"No, I'm not.",No. [SEP] i wearing glasses.,I'm not?,"No, sir. Not at all."
105,Does match your eyes. Is there a bonnet?,What?,"Hermione, I'm wearing glasses?","Oh. Well. Well, I'll be going. I'll see you later. [SEP] i won the Triwizard","I'm not wearing glasses, mate.","What's that, Hagrid?"
106,I don't think it works. I think it's defective.,I'm not dead.,Nothing.,Nothing. Nothing at all. [SEP] i wearing glasses.,Nothing.,Nothing. Just... feeling... strange.
107,"Where is it now? Did someone take it, Kreacher?","But Kreacher didn't destroy it, did he?","But he could destroy it, right?","But if he could destroy it, why did he try to destroy the Horcrux?",But why destroy it?,"I’m sorry, sir. But I’ve got to go. I‘ve got a lightning bolt scar on my forehead. It’s from the lightning bolt I hit when I was little."
108,Amazing.,I’m not sure.,I’m not sure.,"I’m sorry, Hermione. I didn’t realize you were in love with me. I’ll go now. [SEP] i wearing glasses.","I’m sorry, Hermione. I didn’t realize that you’re here.",I’m not sure.
109,"Professor, is that--?","You think so, Professor?",I'm not sure...,I’ll give you that.,"I don't know, sir.",You know what I mean. I'm saying Dumbledore's dead. I've been thinking about it for years.
110,Sir?,I was going to go with the Dementors.,Because it was fun.,"Because I thought it would be funny. And because it was the only way I could get out of the castle. And I thought I could help you. [SEP] i had the green eyes of my mother, Lily.",I had to.,"I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
111,You’re not doing enough.,You’re going to need to speak with the others.,You’re not doing anything.,"But you’re doing all you can, right? Because you‘re the only one here. You can’ve done something. But you didn’T. [SEP] i can speak parseltongue",But you’re not doing anything.,You’re doing a good job.
112,But I've never even played Quidditch. What if I make a fool of myself?,"Thanks, Harry.",You mean I won't be great?,"You've never seen a Quidditch game before, have you?",I'm not good enough.,Thanks. I'll try my best.
113,"Yes, sir. It’s just, well, Dumbledore once said that fear of a name only increases fear of the thing itself. It seemed sensible.",I‘m not afraid of the name. I’m not scared of you.,Sir?,"You’re a good boy, Harry. You’ve got to be careful. You don’t want to end up like Malfoy. [SEP] i won the Triwizard",No!,"!!!...!!?!!,!!.!!:!!'!!’!!"
114,"They’ll torture you. Even Dudley. If they think you know where I’m going, they’ll stop at noth--",I‘m sorry. I‘ve been here--,But why?,You’re not leaving! You’ll stay here with us! You can’t leave! You have to stay here forever! [SEP] i can speak parseltongue,I‘m sorry. I didn’t realize we lived here.,And I‘ll expect you to stay.
115,I know what he is. But we'll take him to the castle.,You’re not allowed to speak about that here.,"Sir, I’m afraid I‘m not allowed to talk to him.",... is not a friend of mine. [SEP] i wearing glasses.,"Sir, I'm afraid I can't help you.",... is a murderer.
116,No.,"No, I don’t know where to start.","I’m not, sir.",‘Yes. But I’m not sure I‘ll ever get around to reading them. [SEP] i have a lightning bolt scar on my forehead.,Yeah.,No.
117,Hermione. I appreciate the thought-- honestly. But given that we were almost killed by a couple of Death Eaters a few minutes ago...,I don’m know.,"We celebrated it, didn‘t we?","But I didn‘t want it to be a cake, Hermione. I wanted it to BE a cake! I wanted to make it look like a birthday cake. [SEP] i won the Triwizard",But I’m not invited!,But we‘re not allowed to celebrate it. We’re not invited.
118,"You mean, they're going to kill Sirius?",But I don't want to die.,That's not how it goes.,"That's horrible. I'm sure he's had enough. I'll see you around, Harry. [SEP] i won the Triwizard",But why would they do that?,I know. I've tried that before.
119,That's Moody. But if that's-- then--,Yes.,No.,I’ll be going.,Yes.,No. I won't.
120,Dobby! What are you doing here?,"Yes, sir.","Hello, sir.","... well, I'm sorry. I didn't mean to make you uncomfortable. [SEP] i wearing glasses.","Hello, sir.",What's going on?
121,No you don't!,I feel...,You understand?,But I won't let you down.,"I'm not afraid of you, Hermione.","I'm sorry, Hermione. I didn't mean to put you in danger."
122,Does anyone ever really stop being a Death Eater.,I don't know...,Oh?,"Oh, right. I forgot.",I know.,... i am the hero who defeated Voldemort. i wearing glasses. my parents died in Voldemort's attack.
123,It's got my name on it!,"Don't worry, I'll get there in time.",But I’m wearing glasses!,Don't tell me what to do. Don't listen to him. Don’t listen to anyone. [SEP] i wearing glasses.,Don't worry. I won't.,But... I’m wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
124,I think Dumbledore knows pretty much everything that goes on here.,"Yes, sir.",I don't think so.,I think he did. I think he wanted me to die.,I think he just wanted me to be there.,I think he did.
125,But I checked Grimmauld Place! Kreacher said--,But why?,What's that?,But he didn't know that. He didn't even know Sirius was there. He just knew he had to destroy it.,What?,I'm not sure if I'm happy or terrified.
126,They’re great.,They’ll be the first to go if you don’t mind.,They’ve been growing for months.,I’m not sure. I’ll have to go back and look. [SEP] i wearing glasses.,They’ve been growing.,I’m sorry. They’ve all gone.
