,GT,pred_base,pred_persona_conc,pred_persona_conc_test_concX,pred_persona_conc_notoken,pred_persona_conc_notoken_3
127,Fine! Go! And tell Dumbledore thanks for nothing!,"I mean, I'm not really a wizard.","I'm sorry, sir, I don't understand?","Not really. He just wanted to help me. He didn't really care about my safety or my safety alone. I just wanted him to help you. [SEP] i lived in the house of my Aunt Petunia, my mother's older sister, under persecution.",I've never really been in trouble.,I've never really done well with that sort of thing.
128,Well it sets my teeth on edge. What’s he expecting to hear? Good news?,I’m sorry. I’ll never forgive you.,But... why?,But what if I... don’ t want to be with you?,But... I’m not sure.,It’s the best feeling in the world.
129,Was? Isn’t it still?,What was it?,What's that?,... [SEP] i won the Triwizard,And why is it yours?,And you're wearing it!
130,But he's weak. He's living off the unicorns. Don't you see? We had it wrong. Snape doesn't want the Stone for himself. He wants the Stone for Voldemort. With the Elixer of Life Voldemort will be·strong again. He'll... come back.,I think it's a bit of a stretch to say that he was here.,I’m not --,Yes. But I don’t know who it is. I’m not allowed to talk about it.,No. I mean...,Yes. And I'm the youngest Quidditch player in 100 years.
131,"Tom... Tom Riddle? What d'you mean, she won't wake? She's not...",But she won't let me!,"But I won't die, either.",She won’t wake?,She'll wake.,But she'll hear you.
132,"I can come back, sir --",Yes.,Good to see yeh.,Good to see yeh too. [SEP] i wearing glasses.,Good.,Good to see yeh too.
133,Devastatingly handsome.,I'll be back in a bit.,You’re wearing glasses?,I’m not sure. I’ll ask Luna. [SEP] i wearing glasses.,I’m not sure. I’ve never really looked at them.,You look like you've been drinking.
134,And where would it take me?,Yes.,I’ll take that.,Yes. We could. I think I’d rather have a train than a trainwreck.,"Yes. I think so, sir.",I’m afraid I can’t.
135,"If Dumbledore’s traveling places, it’s news to the Ministry. But get this: that night at Borgin & Burkes? It seems Draco was looking at a Vanishing Cabinet.","No, sir.",What he said.,"I'm not sure. I think he was telling me something about the castle. I don't think he's ever heard of it. [SEP] i lived in the house of my Aunt Petunia, my mother's older sister, under persecution.",I don't know. I'm afraid I don't want to know.,I’m not sure.
136,All right. Let's go.,I’m not going to say it.,I'll get it out of here.,It's the only way to keep the Dementors at bay.,I don't care about your fancy robes.,It really is.
137,Maybe you could tell me now.,No.,But I’m the youngest Quidditch player in 100 years.,"!!!,!!?!!.!!...!!..!!:!!…!!’!!-!!--!! [SEP] i wearing glasses.",I‘ll wait.,"!!!,!!?!!.!!...!!..!!:!!’!!You’re right.!,...!,?!,,!,.!?,!??!?...!?.!.,!...,!.?!...?!..!....!:,!..,!:?!:.!..?!"
138,"Hello, sir. Wonderful to see you.",You’re a liar.,I’m sorry.,What happened?,Don’t worry.,"!!!,!!?!!...!!.!!..!!:!!’!!'!!You can't just walk into here!!"
139,"Let him breathe, Hermione!",You're a wizard!,What's that?,"!!!,!!?!!...!!.!!..!!:!!’!!-!!…!!","Sir, I'm afraid I can't help you.","!!!,!!...!!?!!.!!:!!..!!'!!’!!"
140,"Hold on, Ron!",I think he’s dead.,"Sir, I'm not sure what that means.","!!!?!!,!!.!!...!!..!!’!!…!!:!!","Hey there, Harry.","!!!?!!,!!...!!.!!..!!:!!’!!…!!"
141,Brilliant.,I feel great.,"Fine, sir.",Good. Very good. [SEP] i wearing glasses.,Better.,Better. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
142,Fine. Actually... more than fine.,I'll be going.,Yeah.,Yes. [SEP] i wearing glasses.,Yeah.,Yeah.
143,Hagrid... what're you doing here?,"No, sir.","No, sir.","I think so. I think so, too. [SEP] i wearing glasses.","No, sir.","Yes, sir."
144,"Uh… same to you, Luna.",I'm not a snark. I'm a snarkey.,"I'm sorry, sir, I don't think I've ever heard of such a thing.","It's not like I'm going to die tonight, is it, Professor? [SEP] i wearing glasses.",It's not that bad.,"I'm sorry, sir. But it's true. I've been thinking of you for days."
145,She went down to the courtrooms with Umbridge--,I’m Ron.,Hermione! You’re not there!,... in the Ministry. [SEP] i'm most afraid of Dementors,"Hermione! I’m sorry, I thought you’d gone. I‘m sorry. I missed you.",Right there.
146,"I found what you wrote in the Daily Prophet very moving, sir. I take it you knew Professor Dumbledore well?",I’m sorry. I’ll never be able to help you.,You've got to go back to the library.,... I'm sorry. I didn't mean to hurt you. I just... wanted to help you. [SEP] i wearing glasses.,No!,"!!!...!!?!!,!!.!!:!!..!!"
147,"There’s nothing scary about thestrals. They’re gentle things. Anyway, you won’t be going up to school in the carriages. You’ll be going in the boats, remember?",There's a bit of magic in the castle.,"Yes, there will be, sir.",I don't know. I've never seen it. [SEP] i have a lightning bolt scar on my forehead.,There better not be.,I think so.
148,"Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.",I don't know...,It’s a broom.,It's a snake. [SEP] i wearing glasses.,It's a long story.,No. It’s just... I’m not sure what it is.
149,Ginny stole the diary from my room? But why?,"You mean, I could have stolen the book from you?",I didn't steal it. I just put it in the bag.,I was thinking the same thing. She must have done it to get me expelled. [SEP] i won the Triwizard,I'm sorry.,I'm sure you'll find it in no time.
150,Yes.,"Yes, sir.",I'm sorry.,"No, sir. I heard it in Lockheart's office. [SEP] i won the Triwizard",Yes.,I think so.
151,"Do you think the Horcrux is in there, sir?",I've been thinking about this for months.,But I’m not allowed to drink it.,I'll go with you.,The water?,... it’s dangerous.
152,He's asleep.,It’s not like I’m going to destroy it.,But I’m not allowed to.,It’ll do.,It’ll move.,"!!!...!!,!!?!!.!!..!!:!!'!!’!!"
153,What’re you saying?,"But if we do find it, I think it can’ll be worse than the HorCrux. I’m not sure about that.","No, it doesn‘t matter.","It does matter if you find it. If it’s not there, you’re lying. If you find the Chamber of Secrets, you are lying. You’ve been lying. [SEP] i won the Triwizard",Hermione?,It’s a big one.
154,"Yeah, it doesn't make any sense.",Yes.,"No, sir.",I'm not ordering them. I'm just telling you what I think you're doing. [SEP] i wearing glasses.,Dunpbombs?,"I’m not sure if I’ll be able to keep up with all of these, Potter."
155,"Just the general behavior, sir. The sneaking around. The jumping when you saw me. ","I'm sorry, Professor. I didn't think you'd come back.",Because I'm the most powerful man in the world.,"I’m just saying. If I were you, I d’d have kept it in your bag. If you were me, I'd have kept the sword in my bag. [SEP] i had the green eyes of my mother, Lily.",Because I'm a wizard.,Because I’m a Gryffindor.
156,I haven't. Not really.,I'm not a wizard.,I haven't gotten one in months.,"I've been here all year, and yeh don't think I've ever gotten one.",No.,"Well, it was a bit of a surprise."
157,"Look, don’t be shy. If you’ve got something to say, spit it out.",You’re right. I’m sorry.,I’m not saying there’ is.,I’m not sure. But I’ll go with you. [SEP] i won the Triwizard,There’ is a problem.,What’re you saying?
158,"Well, sir, I wondered if I might ask you something.","Sir, it’s the Prince’ of Magic.","I’m not sure, sir.",The pleasure you gave me! I’m sorry. But you can repay me by any means necessary. [SEP] i can speak parseltongue,"I’m sorry, sir, but I don’ t think I’ve ever met the Prince that was so brilliant as to be able to perform the Patronus.",You’re the Prince that brought me here! You’ve made me feel like I was the only one who cared about my family!
159,Why not?,I'm not going to touch it!,But I want to.,"I'm not your friend, Harry.",I’ll try not to.,"!!!,!!...!!?!!.!!:!!..!!’!!'!!Hello!! Hello!!"
160,I... just... know.,Yes.,No.,I don't have any. I just know what I saw. [SEP] i won the Triwizard,I don't know what you're talking about.,Myself. I'm the youngest Quidditch player in 100 years. my parents died in Voldemort's attack.
161,"Bubble Juice, sir?","No, sir.",I think it's--,"I don't know what it’s like, but I think it‘s different.","I don't know, sir.",No idea.
162,Expelliarmus!,I think I'll be going to sleep.,"I'm sorry, sir, but I don't think I can help it--",You two have to get off my lawn. You're making me nervous. [SEP] my parents died in Voldemort's attack.,No! I'm not going to do it!,No! You don't have to! You can do it!
163,"If you quit, we'll be out four players!",You're not horrible!,I know. I know.,You're horrible.,"I'm sorry, Hermione. But I have to go. I have a lot of work to do.",I'm sorry. But you're horrible too.
164,"Potentially problematic? I don't know about you, Hermione, but last time I checked I couldn't hold my breath for an hour!",Yes.,"Sir, I'm not wearing glasses, sir.",I’m not sure what you’re talking about. I’ve been here for months. I don’t think I‘ve ever seen anyone with a scar on their forehead.,"It's not like I can control it, Hermione. It's not--",How so?
165,The Map is never wrong.,"No, I’m not!",I’m sure there’ll be someone.,But I can leave. I can’t stay here. I’m going to the castle. I need to know where I am.,But there’ is someone who can leave.,"But I can leave it, I’m just not allowed to leave it."
166,What crime?,You're right. I don't care about your feelings. I just want to talk to you.,I know.,"... with strange parents. [SEP] i had the green eyes of my mother, Lily.",They're just... kids.,... and they're not hungry.
167,But I don't have any special powers.,Who is this?,But I didn't think he had a reason to listen to my meetings.,And that he'd have to destroy you. And that you'd have him arrested. And expelled. And arrested again. And then expelled. [SE,"I'm sorry, sir. I didn't realize that.",I’m sorry. But I’ll go now.
168,Right... Dunno why he couldn't just come and tell me.,"No, sir.","Yes, sir.",Yes. [SEP] i won the Triwizard,"Yes, sir.",Yes. But I think I'll need a bit of a break.
169,I don't know...,We'll go back.,I don't know.,We don't know. We just know we need to find him. [SEP] i wearing glasses.,We need to find you.,We’ll go to the library.
170,It's got to be.,It's not a secret. It's in the Ministry of Mysteries.,Yes.,Yes. [SEP] i am the hero who defeated Voldemort.,No. It's not.,Yes. I'm the youngest Quidditch player in 100 years. my pet is Hedwig the White Owl my wand is the same combination as Voldemort's.
171,Thanks very. much.,No!,I'm sorry.,But I'm not hungry. I swear.,I'll take a handle!,"!!!,!!?!!.!!...!!..!!:!!’!!'!!I’m the hero who defeated Voldemort. I'm the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
172,What... Who are you?,"It's a bit of a pity, isn't it?","It’s no problem, Professor.","I'm sorry, sir. I'm afraid I can't help you there. [SEP] i can speak parseltongue",It's not...,"You're an all star, Harry."
173,Yeah...,I'm home.,"Yes, sir.","Yes, sir.",Yeah.,Yeah. I'm a bit tired.
174,That's Madame Maxime!,But the front is.,"It's a bit difficult, isn't it?",But it's a bloody nose. It's bloody. It can't be good for your nose. [SEP] my parents died in Voldemort's attack.,But it’s noth’t a snake.,"I know, it's just that I've been seeing it more and more often."
175,"You mean, we've gone back in time?",But where is it?,"What's that, Hermione?","Oh. Well. Well... well... well, well, I'm sorry. I didn't mean to hurt you. I just... I didn’t realize... I’m... I wasn’ll -- I didn t realize I had to...","I'm sorry, sir. I've never heard of such a thing.","But I don't think it’s a good idea, Hermione. I don’t think it is."
176,"Er,,,","No, sir. I’m not--",I can't!,I can't. I can't... [SEP] i can speak parseltongue,"No, sir.",I can't. my dormitory is Gryffindor my parents died in Voldemort's attack. I'm the youngest Quidditch player in 100 years.
177,Because we'd take the mickey out of her?,She's coming.,Because she's not telling us who we're meeting.,I don't know. I don't think she's come looking for us. [SEP] i won the Triwizard,Because she knows we'll come back.,I dunno. She's just really nervous.
178,Sorry... I still don’t really understand...,I don't know.,What's that?,I'm sorry. I didn't realize they were that dangerous. I'm going to go and get them now.,"I'm sorry, sir. I didn't realize I had to go back.",What are they for?
179,Let me out.,But I don’t care. I don't care about anyone else's death.,I’ll try to kill him.,"No, I don't care about that. I care about the things I've done.",But I won't.,But I don't care about dying. I care about you dying.
180,What about her?,I’m not the only one who saw him.,I saw him.,I did. I saw the end. I was there when it happened. I felt it. I looked at the end of the Chamber. [SEP] i won the Triwizard,No.,"I did, sir."
181,Have it your way...,I can see it. I can see the pain in your eyes.,I want you two to meet.,You can't force me! You can't make me! [SEP] i can speak parseltongue,I’ll turn my back on you!,But I can't!
182,"Yeah, real safe. Attacked by Dementors, that's safe, that is.",I thought you'd be safer in the castle.,Yeah.,I’m not sure about that.,I don't think so.,I’m not wearing any glasses.
183,I've got presents.,"No, sir.","Thanks, Hermione.","Thanks, Hermione!",Thanks.,"You too, Hermione!"
184,"Uh, Hagrid, what exactly was that?",You’re right. I’m not.,"No place safer? I mean, I've been to the Three Sisters, but I don't think there's anything safer than Hogwarts.",I'm not sure. I don't think I've ever felt safe.,I’ll go there.,You mean like the Chamber of Secrets.
185,What?,I don't think I can help it.,"No, not really.",I'm not a very nice person.,You know I'm not a bad guy.,Not really.
186,You called him a slick git not five hours ago.,He’ll be back.,"Yes, he is.",He’ll be missed.,"I’m sorry, Harry. I didn’t mean to make you feel bad.",He’ll be back.
187,"Because I need to. Because if I don’t, I don’t know who I am anymore. I’ve lost too many people to lie down now. I’m not interested in what happened between you and your brother, I don’t even care that you’ve given up. I trust the man I knew. I’m going to see this through.",Why do you trust me?,I’m not sure.,Because he’s my friend. And because he‘s my brother. And I‘m your friend. I‖m the one who-- I‚t know who he‖s talking about. And he‚s,Because I‘m not a fool.,Because he’s the best. And because he‘s a wizard.
188,Nothing.,No.,"I don't know, sir.",I don't know. I haven't really thought about it.,No.,No. Nothing.
189,Or twenty.,But where did it come from?,"I’m sorry, Hermione. I‘m not used to this...",You’ll never get it back. It’s too big.,"I’m sorry, Hermione. I didn’t know it was you.",It’s too big.
190,It's the truth!,What happened to him?,You’re lying.,"I’m sorry, Harry. I didn’t mean to put you in danger. But I’ll be leaving now. I‘ll be going. I promise. [SEP] i won the Triwizard","And here we are, talking about it.","What is it, Harry?"
191,Accio Dittany.,It’ll be there.,"I’m sorry, Hermione. I didn’t realize you had to go and tell everyone.","It’ll be fine, I reckon. I’m used to it by now.",What!,What's that?
192,"Well, you see, the other day I was in the Restricted Section-- in the library-- and I stumbled upon something rather odd while reading. Something about a bit of rare magic...",What?,"Sir, I'm the youngest Quidditch player in 100 years.","How are you, Hermione? How are you? [SEP] i wearing glasses.",Who are you talking to?,What's it like being a wizard?
193,Yeah… nerves...,What?,It’s nothing.,... from the last time you saw him...,I don't think so.,I'm sure she's fine.
194,"Sir, I thought one couldn’t Apparate within Hogwarts.","No, I don't want to die.",I don't care about your arm. It's not worth anything.,No. I’ll take your arm. I can’t help it. It’s too dangerous.,It’s broken.,"Take it off, please."
195,"Hermione, I don’t need to have read A History of Magic to know who Gellert Grindelwald is.",Who is he?,Who was he?,You--Know--Who? [SEP] i am the hero who defeated Voldemort.,"I’m not very rich, sir.",What’re you talking about?
196,Just like that? How?,What happened to you?,What?,What happened?,What?,"I'm sorry, sir. I'm afraid I can't allow you to go anywhere near here."
197,What?,"No, sir.",Who's there?,Who is he?,Who's there?,What's he doing here?
198,Don't mention it. Lumos.,It’s a bit of a long story.,You're welcome.,You're welcome.,You're welcome.,No problem.
199,What was that thing you saved me from?,I can see.,"Sir, I’m not dangerous.",I have to go. I need to get home. I can't stay here forever. [SEP] i can speak parseltongue,I'll go back to Hogwarts.,I know. I'm the youngest Quidditch player in 100 years. I don't want to go back.
200,I remember.,You mean to say I was a wizard?,"Yeah, I remember.",Yes. It’s been a while.,"Yes, sir.",I do. I'm Ron Weasley's cousin.
201,Dragon balls.,No.,It’s a snake.,It’s a potion. It’ll do that.,I’ve got a lightning bolt scar on my forehead.,It’s a bit of a strange thing. A strange little thing. But I‘ll tell you what it is. It’ll be the most wonderful thing I ever saw.
202,I just saw it.,I'm Ron.,I know everything.,I'm a wizard.,I'm the youngest Quidditch player in 100 years.,I'm the youngest Quidditch player in 100 years.
203,I have to.,"I think I’m going to go away, sir.",No.,Yes. But I have to go. [SEP] i have a lightning bolt scar on my forehead.,Yes.,No. I’m going to the castle.
204,"Then again, he can take himself.","I mean, I think we've got to get back to the Ministry before the year is over.",But you'll be here!,Then we'll go to Hogwarts and get the papers.,You mean you don't have a date?,But we have to go to Hogwarts. We can't just walk in the front door.
205,We were attacked.,"Yes, sir.",I have no idea.,... I'm sorry. I don't know what to tell you. I'm just... I don’t know what I want. [SEP] i won the Triwizard,I have no idea.,I'll tell you what I've got!
206,It answers to me.,You're not alone.,It means...!,... I’ll go with you... [SEP] i won the Triwizard,What?,... that she can...
207,"I didn't ask for this to happen, Ron. Okay? You're being stupid.",I know.,I know what.,You've got to tell me.,I've got a lightning bolt scar on my forehead.,You're going to have to explain that to me.
208,What about Lord Voldemort?,No.,"There is no school, there is no real world.",I’ll be alright. I’m used to it by now. [SEP] i won the Triwizard,There's nothing in the world that's worth dying for.,"I'm sorry, sir. I don't know what I'm doing."
209,Yes.,No.,No.,I think I’m going to have to.,I didn't know.,No. i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
210,You. You're the heir of Slytherin. You're Voldemort?,I'm not sure.,Voldemort's?,"But you can't destroy it, can you?",Voldemort's?,But why?
211,Nox.,But why?,But I don't want to die.,But I need to see you. I need you to die.,I'm not afraid of the dark.,But I'm wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
212,Someone's going to try and steal it.,"I'm not dead, Harry.",I've seen it happen before.,I'm a wizard.,Because he's right.,Because I'm a wizard.
213,That he escaped from Azkaban. That he killed someone...,I know nothing.,I don't know anything about Sirius Black.,Nothing. [SEP] i wearing glasses.,I don't know much about Sirius Black.,Nothing. I've never met him.
214,What?,You mean you didn't know that?,No.,"But he was trying to take it from me, wasn't he? [SEP] i won the Triwizard",Snape!,"But he could've used it. I mean, he could have used it to take over Hogwarts."
215,Dunno.,I don't know.,I’m not sure.,I don't know. It was strange.,No. I’m sure it’s nothing.,I’m sorry. I don’t know what happened. But I think I’ll go with it.
216,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums.",No.,"I'm sorry, Harry.",Who's there?,It’s me.,Oh yeah.
217,It was you!,I don't know.,I think so.,... yeah.,No.,I don't think so.
218,"Well, you can tell Ronald--",I don't know.,Ron?,Ron. What is it? [SEP] i wearing glasses.,"Hermione, Hagrid, Ron, and me.",Ronald... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
219,What was that?,And you did something I couldn't forgive. Your father did it to you.,My father never did anything to me.,And then? [SEP] i can speak parseltongue,I'm most worried about you.,And then he died in Voldemort's attack.
220,"Well, you see, I’ve got an open period this morning, Professor--",I’m not sure.,Yes.,Yes. Very much so.,Yeah.,I'm sure I am.
221,Well... thanks.,I don't think you know what you re doing.,I’m not a waste. I’ve been here longer than you.,I’m not sure about that. But I’ll take your word for it.,"I’m sorry, Hermione. I didn’T realize you were here--",You’ve got to let it go.
222,No.,I can't take it. I can't even breathe.,I'll go on.,I’ll take it. It’s yours. [SEP] i won the Triwizard,I’m going to go get it.,"!!!,!!?!!.!!...!!..!!’!!:!!"
223,What?,I think it's time for you to go.,What's that?,I can feel it growing stronger...,You're in Gryffondor?,... my dormitory is Gryffindor my pet is Hedwig the White Owl my wand is the same combination as Voldemort's.
224,But I’m telling you. I saw it--,Where did it come from?,I’ll go and get it.,"Oh. Well, I’ll be going. I‘ll be in my room. I need to go to sleep. [SEP] i won the Triwizard","It’ll be here tomorrow, won’t it?",Yeah. It‘s been there for months.
225,"But why, sir? If no one will believe me?",But I can't tell you how to get out.,I know. But I'm not going to tell it to anybody.,I don't want to lie. I don't think anyone believes me. I just want to be the hero.,"Voldemort was never here, Hermione.",I know. I'm not saying he has returned. I just think he's gone.
226,"You're too late, it's gone.","Sir, I’m not allowed to speak of it.","Yes, sir.",... [SEP] i won the Triwizard,But I don't want to order it!,"!!!,!!...!!?!!.!!..!!’!!:!!1!!"
227,"He barely taught me, though. I always felt more open to it after the lessons. Like he was trying to open me to Voldemort--",But I’m not really sure.,"I'm sorry, Hermione.","You’re right. I’m sorry. But you have to forgive me. I didn’t mean to hurt you. I just... wanted to help. [SEP] i had the green eyes of my mother, Lily.",You mean... my feelings toward you?,I understand.
228,"Why do you want to cancel the Triwizard Tournament, sir?",He's not wrong.,What?,... he's a bloody lunatic.,He's the youngest Quidditch player in 100 years.,He's just trying to make sure you're alright.
229,What's she done now?,What?,"I know, Hermione.",But I’m sure she’s a real lovely woman.,I’ll go and kill her.,"I'm sorry, Hermione. I can't help it. I'm the youngest Quidditch player in 100 years. my parents died in Voldemort's attack. I've been practicing for months."
230,He's gone? Now? But this is important! This is about... the Sorcerer's Stone.,What?,"Sir, I’m afraid I don’t understand.",What is he doing here?,"I'm sorry, sir.","I'm sorry, sir. But I think you should--"
231,"Maybe Ron's right, Hermione. I mean, look at his family. The whole lot of them have been in Slytherin for centuries.",Yes.,I'm the youngest Quidditch player in 100 years.,No. I mean... he's here. He's just... not here. [SEP] i wearing glasses.,I don't know. I've never met him.,He was here.
232,Show me.,What happened to him?,But why would he do that?,But he was alive. And he was the hero. [SEP] i wearing glasses.,I don't care about the rat! I don't want to be a rat!,What is he doing here?
233,You don't have a clue! You can't possibly know!,I'm not going to hurt you.,I've never felt pain before...,But I'm not feeling pain. I'm feeling... well... pain.,"I've been told that before, sir.","I'm sorry, Hermione. I don't think I've ever felt pain before..."
234,I have an idea.,"No, I’m not.",No.,I’m going to kill somebody.,But I’m scared of Dementors.,"You’re not my supervisor, Harry."
235,I... didn' t know.,I'm not a seeker.,I did.,I didn't either.,No.,He’s not a seeker. He’ll be here when you’re ready.
236,Thanks.,I'm sure.,Thanks.,Thank you.,Thanks.,Thanks. I'll need it.
237,I think I'd take the dragon 'bout now...,I can't.,"I can't, sir. I can't.",I can't. I've got a boyfriend. [SEP] i can speak parseltongue,"I don't know, sir.",I can. But I don't think I can get a dragon to drink.
238,Never!,"You don't know why I'm here, do you?",Because I want to die.,Because I have to die.,Because I can.,"Because I can't die, Hermione. I can only die once."
239,No. I don’t think so...,I’m sorry.,Give me yours.,You’ll have to wait until I get to Hogwarts.,I don't need it.,I’m sorry. But I’ve got to go.
240,Voldemort's broken into the Department of Mysteries. He's got Sirius there! He could already have the weapon!,I heard him.,Nothing.,Nothing. Nothing at all. Nothing. [SEP] i wearing glasses.,Nothing.,Nothing. Just... bored.
241,"We'll find her, Ron. Ginny's going to be fine.",I don't think so.,"No, sir. She's not.",No. Not at all. [SEP] i wearing glasses.,No. She's not.,I don't think so.
242,I have a hunch. I just hope I'm wrong...,I think we should go.,I dunno.,I don't know. I think I’ll go with you. [SEP] i won the Triwizard,The library.,Through the front doors.
243,"Yeah, strange. Only... it’s not. It’s a fake.","It’ll be difficult, but I’m not afraid of it.",It’ll be a while.,You’re thinking of someone else.,It’ll take a while.,... and you think I’m lying to you?
244,Anywhere's better than here.,"I mean, I've never done magic.",But I'm allowed to try and do it.,What about the Chamber of Secrets?,I've got a lightning bolt scar on my forehead.,I know. But I can't help it. I'm the youngest Quidditch player in 100 years.
245,It shows me my family.,It’s like a mirror.,Yes.,Yes. It makes me feel better.,It's like magic.,I’m sorry. I’ve never really been a fan of magic.
246,"Yeah, my friend Ron Weasley.",Yes.,No.,I have not. [SEP] i won the Triwizard,"No, I haven't.",No. I'm the youngest Quidditch player in 100 years.
247,"Yes, do go enjoy yourselves.",I think I need to go back to Hogwarts.,I don't think we can...,You've got to let me out of here!,But I have to go back to Hogwarts.,"!!!...!!?!!,!!.!!..!!:!!'!!’!!You're coming!!"
248,I want to bury him properly. Without magic.,"Yes, sir.",He’s not.,"And now, I've got to go and get my stuff...",No! He’s not asleep!,He could be anywhere.
249,That's how Voldemort got in unnoticed.,I’m not going anywhere.,I'll go back in.,’How long have you been gone?,I'll be going.,Yes.
250,"Exactly where are we, sir?","What's it, Harry?",What's that?,I’m sorry. But I’ve got to go. I‘m not allowed back in-- [SEP] i'm most afraid of Dementors,I'm not sure what you're talking about.,... i wearing glasses. my parents died in Voldemort's attack. i'm attending Hogwarts
251,Together.,I’ll take it if you don’t mind.,"Stay here, then.",We’ll be fine. I’m sure of it. I think we’ve got enough help. [SEP] i have a lightning bolt scar on my forehead.,"I’ll be fine, thanks.",I'll be there in a bit.
252,"What do you know about the Deathly Hallows, sir?",What's the difference?,But I have never been chosen.,Then it is clear to me too. That it is the wand's choice. [SEP] i won the Triwizard,"So it was you, Mr, Potter.","I’m the youngest Quidditch player in 100 years. i won the Triwizard i lived in the house of my Aunt Petunia, my mother's older sister, under persecution."
253,"Get off! I said we'd take you to the castle. After that, the Dementors can have you.",No.,I think you mean!,"You're welcome, sir.",I'm sorry.,"You're welcome, sir."
